   timestamp          x          y         theta        diff_angle
392.447000 16.5113316 8.2399807 1.1539110 0.1305621
392.813500 16.5182228 8.5480976 1.2507465 0.0968355
393.047000 16.5247211 8.7525959 1.3547155 0.1039690
393.247000 16.5274830 8.9246073 1.4502939 0.0955784
393.714000 16.5410938 9.3185959 1.5025878 0.0522939
393.947000 16.5467205 9.5195808 1.5846298 0.0820420
394.247000 16.5547523 9.7748432 1.7810152 0.1963854
394.581000 16.5654087 10.0628004 1.8612839 0.0802687
394.781000 16.5749283 10.2372923 1.9025664 0.0412825
395.013500 16.5814533 10.4335728 1.9801525 0.0775861
395.280500 16.5845375 10.6599150 2.1042557 0.1241032
395.547000 16.5945320 10.8860502 2.0597024 0.0445533
395.913500 16.6052628 11.2010002 1.9736986 0.0860038
396.347500 16.6178570 11.5719414 2.0284626 0.0547640
396.713500 16.6300697 11.8856945 2.0198410 0.0086217
397.181000 16.6408043 12.2846355 2.0049756 0.0148654
397.380500 16.6447334 12.4518423 2.0188160 0.0138404
397.647000 16.6555843 12.6831627 2.0323346 0.0135186
398.080500 16.6705151 13.0519066 1.9105964 0.1217382
398.580500 16.6834469 13.4789114 2.0093648 0.0987685
398.814000 16.6886635 13.6786385 2.0250103 0.0156455
399.047000 16.6976967 13.8780146 1.9964854 0.0285250
399.547500 16.7058945 14.3071156 1.9131585 0.0833268
399.880500 16.7086773 14.5934992 1.3632027 0.5499558
400.214000 16.6860962 14.8722019 -0.3567608 1.0064418
400.681000 16.6597538 15.2707376 -1.5910915 1.2343307
401.113500 16.6068058 15.6306744 -4.1070275 2.5159359
401.513500 16.5064640 15.9553146 -8.5393162 4.4322886
401.880500 16.4009933 16.2414207 -12.2330275 3.6937113
402.213500 16.2744713 16.4921532 -16.4326859 4.1996584
402.581000 16.1207867 16.7533875 -20.8584747 4.4257889
402.980500 15.9445057 17.0230923 -24.7930870 3.9346123
403.380500 15.7386045 17.2702942 -29.7350597 4.9419727
403.713500 15.5541286 17.4716568 -33.5146255 3.7795658
404.113500 15.3220816 17.6953602 -37.4171219 3.9024963
404.580500 15.0232449 17.9236355 -43.2571030 5.8399811
404.947000 14.7805338 18.0933857 -46.6539536 3.3968506
405.380500 14.4947100 18.2904930 -49.7179031 3.0639496
405.680500 14.2865438 18.4094505 -52.4213181 2.7034149
406.180500 13.9317436 18.5916309 -56.3255196 3.9042015
406.613500 13.6170969 18.7335930 -59.4377098 3.1121902
407.113500 13.2428713 18.8638020 -63.9849701 4.5472603
407.413500 13.0113811 18.9350815 -66.2359848 2.2510147
407.780500 12.7331429 19.0048485 -68.8074341 2.5714493
408.080500 12.4995241 19.0553551 -71.5153732 2.7079391
408.447000 12.2154474 19.0958176 -74.3386612 2.8232880
408.747000 11.9846573 19.1191635 -76.6946335 2.3559723
409.014000 11.7737379 19.1397591 -78.6310272 1.9363937
409.380500 11.4844608 19.1470356 -81.7244949 3.0934677
409.747000 11.1991968 19.1390076 -84.4912262 2.7667313
410.047000 10.9677019 19.1304226 -86.3171158 1.8258896
410.680500 10.4579067 19.1295280 -88.1030960 1.7859802
411.013500 10.1946669 19.1205120 -89.2479477 1.1448517
411.813500 9.5459290 19.1019917 -90.2783890 1.0304413
412.247000 9.1924849 19.1008873 -90.3582153 0.0798264
412.480500 9.0039167 19.1005707 -90.3458481 0.0123672
412.780500 8.7559290 19.1013222 -90.2848587 0.0609894
413.313500 8.3200655 19.0962868 -90.2869797 0.0021210
